date,reason
2017-11-15,Victory
2017-11-14,Missed
2017-11-13,Cars on Orange
2017-11-12,Weekend
2017-11-11,Weekend
2017-11-10,Scott OOO
2017-11-09,Maroon Argyle
2017-11-08,Missed
2017-11-07,Victory
2017-11-06,Saturn
2017-11-05,Weekend
2017-11-04,Weekend
2017-11-03,Saturn
2017-11-02,Cornell
2017-11-01,Bow Ties
2017-10-31,Dinosaurs
2017-10-30,Cars
2017-10-29,Weekend
2017-10-28,Weekend
2017-10-27,Saturn
2017-10-26,Motorcycles
2017-10-25,Solar System
2017-10-24,Bow Ties
2017-10-23,Maroon Argyle
2017-10-22,Weekend
2017-10-21,Weekend
2017-10-20,Scott OOO
2017-10-19,Maroon Argyle
2017-10-18,Saturn
2017-10-17,Cars
2017-10-16,Motorcycles
2017-10-15,Weekend
2017-10-14,Weekend
2017-10-13,Victory
2017-10-12,Rose
2017-10-11,Stormtrooper
2017-10-10,Missed
2017-10-09,Dinosaurs
2017-10-08,Weekend
2017-10-07,Weekend
2017-10-06,Will OOO
2017-10-05,Rose
2017-10-04,Traditional Black
2017-10-03,Victory
2017-10-02,Dinosaurs
2017-10-01,Weekend
2017-09-30,Weekend
2017-09-29,Floral
